CampaignTypeId,Name
1f68b0f6-dace-468e-9c14-e7f0b55cfa77,Generic
2e7cf74c-29f4-42b5-9a38-b345c20ac9e2,Fundraising
3ae5c631-e01e-4050-91fd-0f9fc79c5021,Awareness
4bb24e06-9e9e-41a0-a622-cd4202f5f050,Advocacy
5b5e63ef-45a4-4e7c-a457-05f073de4cc9,Membership Drive
63c8b539-d42f-4a77-8015-e326ec78c6b0,Volunteer Recruitment
76e3fc34-1271-4f52-96d2-b12aa4ae0032,Event Promotion
8f52f982-1282-42d6-9c82-73f29f57cfe3,Giving Tuesday
9c67d347-cbf3-4714-b857-e110c63d0d4e,Peer-to-Peer
a1d772d3-b8a2-4a53-88e3-40cf0dd13f3f,Community Outreach
b08f1a3b-3960-4f7e-87db-888d25c2fbd3,Education